case_type_id,case_category,scenario_description,keywords,typical_duration_months,recommended_first_action,common_mistakes,embedding_text
CHEATING_01,Criminal,A person was deceived into giving money or property based on false promises or misrepresentation.,"[""cheating"",""fraud"",""false promise"",""money loss""]",18,File FIR under IPC 420,"Not collecting proof of deception, delaying FIR",Cheating and fraud case involving false promises and financial loss cheating fraud IPC 420
CRIMINAL_BREACH_TRUST_01,Criminal,Money or property was entrusted to someone who later dishonestly misappropriated it.,"[""breach of trust"",""entrustment"",""misappropriation""]",20,File FIR under IPC 406,"No proof of entrustment, mixing civil and criminal claims",Criminal breach of trust involving entrusted property misappropriation IPC 406
THEFT_01,Criminal,Movable property was taken dishonestly without the owner's consent.,"[""theft"",""stolen property"",""unauthorized taking""]",12,File FIR with local police,Failure to identify stolen items clearly,Theft case involving dishonest removal of movable property IPC 378
ASSAULT_01,Criminal,Physical harm or threat was caused intentionally to a person.,"[""assault"",""physical injury"",""criminal force""]",10,Medical examination and FIR,"No medical report, delayed complaint",Assault and physical injury case involving criminal force IPC 351
DOMESTIC_VIOLENCE_01,Family,"A woman faced physical, emotional, or economic abuse within a domestic relationship.","[""domestic violence"",""harassment"",""cruelty""]",24,File complaint under Domestic Violence Act,Withdrawing complaint under pressure,Domestic violence case involving abuse within family DV Act
TENANT_DISPUTE_01,Property,"Dispute between landlord and tenant regarding rent, eviction, or property damage.","[""tenant"",""rent dispute"",""eviction""]",30,Send legal notice to tenant/landlord,No written rent agreement,Tenant landlord dispute involving rent eviction property
PROPERTY_DISPUTE_01,Property,Ownership or possession of immovable property is disputed between parties.,"[""property ownership"",""land dispute"",""title deed""]",36,Issue legal notice and file civil suit,Ignoring title verification,Property ownership dispute involving land title and possession
EMPLOYMENT_TERMINATION_01,Employment,An employee was terminated unfairly without notice or due process.,"[""wrongful termination"",""employment dispute"",""labor law""]",18,Approach Labour Commissioner,Not keeping appointment letter,Employment dispute involving illegal termination labor law
CONSUMER_COMPLAINT_01,Consumer,Consumer received defective goods or poor services causing loss.,"[""consumer rights"",""defective product"",""service deficiency""]",8,File complaint in Consumer Forum,Missing invoices or bills,Consumer dispute involving defective goods and service deficiency
LOAN_DEFAULT_01,Civil,Borrower failed to repay loan leading to recovery proceedings.,"[""loan default"",""debt recovery"",""bank notice""]",24,Reply to legal notice and negotiate,Ignoring bank notices,Loan default dispute involving repayment and recovery
CYBER_CRIME_01,Criminal,Offense committed using computer or internet such as hacking or online fraud.,"[""cyber crime"",""online fraud"",""hacking""]",14,File complaint on cybercrime portal,Deleting digital evidence,Cyber crime case involving online fraud IT Act
DEFAMATION_01,Civil,False statements harmed the reputation of a person or entity.,"[""defamation"",""false accusation"",""reputation damage""]",20,Send legal notice for defamation,Publicly responding emotionally,Defamation case involving reputation damage IPC 499
CHEQUE_BOUNCE_01,Civil,Cheque issued for payment was dishonored due to insufficient funds.,"[""cheque bounce"",""NI Act 138"",""dishonoured cheque""]",15,Send legal notice within 30 days,Missing limitation period,Cheque bounce case under NI Act Section 138
MATRIMONIAL_DISPUTE_01,Family,"Dispute between spouses relating to divorce, maintenance, or cruelty.","[""divorce"",""maintenance"",""matrimonial dispute""]",36,Consult family court lawyer,Social media oversharing,Matrimonial dispute involving divorce maintenance family law
INHERITANCE_DISPUTE_01,Property,Conflict over ancestral or inherited property among family members.,"[""inheritance"",""ancestral property"",""succession""]",40,Verify will and succession law,No succession certificate,Inheritance dispute involving ancestral property succession law
THEFT_02,Property,Movable property was stolen without the consent of the owner.,"[""theft"",""stolen"",""steal"",""robbed"",""pickpocket""]",12,File FIR under IPC 378,"Delay in reporting, no proof of ownership",Theft of movable property without consent including bike theft phone pickpocketing IPC 378
SNATCHING_01,Property,Property was forcibly taken by sudden action causing fear or injury.,"[""snatching"",""grabbed"",""chain"",""mobile""]",14,Immediate FIR and medical examination,"No eyewitness details, delayed FIR",Snatching case involving sudden forceful stealing chain snatching mobile snatching
CHEATING_02,Property,Victim was dishonestly induced to part with money or property.,"[""cheating"",""fraud"",""scam"",""duped""]",18,File FIR under IPC 420,Ignoring transaction records,Cheating and fraud case involving online scams and fake promises IPC 420
MURDER_01,Life,Intentional killing of a person with clear intention to cause death.,"[""murder"",""killed"",""stabbed"",""shot""]",60,Register FIR under IPC 302,Tampering with evidence,Murder case involving intentional killing stabbing shooting IPC 302
ATTEMPT_MURDER_01,Life,An act was done with intention or knowledge to cause death.,"[""attempt to murder"",""attack"",""knife"",""gun""]",36,FIR under IPC 307 and medical report,No injury documentation,Attempt to murder case involving attack with deadly weapons IPC 307
DOMESTIC_CRUELTY_02,Marriage,Woman subjected to cruelty or harassment by husband or relatives.,"[""dowry"",""harassment"",""beating"",""cruelty""]",30,File complaint under IPC 498A,Withdrawing complaint due to pressure,Domestic cruelty and dowry harassment case IPC 498A
ADULTERY_01,Marriage,Sexual relationship with a married person without spouse consent.,"[""adultery"",""affair""]",20,Consult legal counsel,Assuming criminal liability automatically,Adultery related matrimonial dispute under personal laws
CRIMINAL_INTIMIDATION_01,Public Order,Threats were made to cause fear or compel action.,"[""threat"",""blackmail"",""intimidation""]",10,File FIR under IPC 506,No proof of threat communication,Criminal intimidation case involving threats blackmail IPC 506
DEFAMATION_02,Reputation,False statements harmed reputation of a person or organization.,"[""defamation"",""false allegation""]",22,Send legal notice before filing case,Responding publicly,Defamation case involving false accusations and social media posts IPC 499
FORGERY_01,Documents,False documents were created or signatures forged.,"[""forgery"",""fake document"",""signature""]",28,FIR under IPC 465,Not verifying original records,Forgery case involving fake certificates forged signatures IPC 465
FALSE_EVIDENCE_01,Justice,False evidence or statements given during judicial proceedings.,"[""false evidence"",""lying in court""]",24,File complaint under IPC 191,Lack of proof of falsity,False evidence case involving perjury lying in court IPC 191
RIOTING_01,Public Order,Violence committed by an unlawful assembly.,"[""riot"",""unlawful assembly"",""violence""]",18,Register FIR under IPC 147,Not identifying individual roles,Rioting case involving mob violence unlawful assembly IPC 147
